Champion,Kills,Deaths,Assists,Gold Earned,Damage Dealt to Objectives,Total Damage Dealt,Total Damage Dealt to Champions,Total Damage Taken,Total Minions Killed,Physical Damage Dealt,Magic Damage Dealt,Games Played,Games Won,Games Lost
Lux,98,102,129,173015,92062,2064878,433184,317525,2052,290795,1700858,18,10,8
Irelia,6,56,11,38312,28080,570655,66462,160748,559,457194,89313,4,1,3
Brand,20,37,25,43123,25204,533658,92394,126539,571,69376,458370,4,2,2
Jhin,120,115,85,142611,85662,1675209,296339,312924,1370,1563425,80288,12,8,4
Jinx,35,57,38,60936,59110,664369,146192,153603,653,628270,7735,6,1,5
Azir,10,39,24,35602,23526,430220,58485,113586,461,60610,346203,4,1,3
Ahri,10,13,14,14451,6903,136023,27099,34612,165,23024,65363,2,1,1
Talon,2,12,4,8315,3822,96425,10497,30922,124,95181,192,1,0,1
Karthus,196,210,171,245197,195721,2909887,777679,530154,2597,102456,2705590,21,15,6
Galio,1,6,4,6250,565,74595,9219,24411,95,6943,65100,1,0,1
Tristana,0,6,1,5657,3567,62869,6523,15162,86,54460,7943,1,0,1
Twitch,11,19,27,26302,12390,277668,48839,64233,300,212315,369,4,2,2
Vayne,0,15,0,3971,746,27583,2530,20661,43,17662,0,1,0,1
Illaoi,18,35,42,46770,26812,637012,100145,186347,565,597248,6046,6,4,2
Sett,25,45,21,51434,26807,608386,94417,172498,640,514466,153,6,2,4
Ashe,4,13,18,15922,7821,147880,24615,34533,168,136675,2894,2,1,1
Mordekaiser,19,29,13,26219,7759,267587,62219,102836,270,40706,222278,3,0,3
MasterYi,1,14,4,6418,4003,44104,12446,31631,47,32240,0,1,0,1
